d_spell,f_spell,result
Ignite,Teleport,False
Flash,Teleport,False
Barrier,Flash,True
Flash,Teleport,True
Flash,Teleport,False
Flash,Heal,True
Flash,Exhaust,True
Flash,Teleport,True
Exhaust,Flash,True
Flash,Heal,False
Flash,Smite,True
Flash,Cleanse,True
Flash,Heal,True
Ignite,Flash,False
Flash,Smite,False
Ghost,Ignite,False
Cleanse,Flash,False
Flash,Teleport,True
Smite,Flash,True
Flash,Teleport,True
Exhaust,Flash,True
Flash,Ignite,True
Exhaust,Flash,False
Teleport,Flash,False
Flash,Smite,True
Flash,Teleport,True
Flash,Cleanse,False
Flash,Ignite,True
Flash,Teleport,True
Flash,Ignite,True
Ignite,Exhaust,True
Flash,Teleport,False
Flash,Exhaust,True
Flash,Ignite,False
Teleport,Flash,False
Exhaust,Smite,False
Flash,Smite,False
Teleport,Ignite,True
Smite,Flash,True
Teleport,Ignite,False
Flash,Exhaust,True
Flash,Teleport,False
Teleport,Flash,False
Smite,Flash,True
Flash,Ignite,False
Ignite,Flash,True
Flash,Exhaust,False
Smite,Flash,False
Flash,Smite,False
Smite,Flash,True
Exhaust,Flash,True
Flash,Heal,True
Ignite,Flash,False
Barrier,Flash,True
Flash,Heal,True
Exhaust,Flash,False
Ignite,Teleport,False
Flash,Smite,False
Exhaust,Flash,True
Ignite,Flash,True
Flash,Heal,False
Ignite,Flash,False
Ignite,Flash,False
Ignite,Flash,False
Ignite,Flash,True
Smite,Flash,True
Smite,Flash,True
Flash,Ignite,False
Flash,Smite,True
Flash,Ignite,True
Flash,Teleport,True
Smite,Flash,False
Ignite,Flash,False
Flash,Ignite,True
Flash,Exhaust,True
Flash,Teleport,True
Heal,Flash,False
Teleport,Flash,False
Flash,Teleport,True
Flash,Heal,False
Heal,Flash,True
Cleanse,Flash,True
Ignite,Flash,True
Exhaust,Flash,False
Teleport,Flash,True
Teleport,Flash,False
Ignite,Teleport,True
Teleport,Flash,True
Ignite,Flash,False
Flash,Teleport,True
Flash,Heal,False
Ignite,Flash,True
Flash,Exhaust,True
Exhaust,Flash,False
Teleport,Flash,True
Exhaust,Flash,True
Flash,Teleport,False
Teleport,Flash,True
Flash,Exhaust,True
Flash,Teleport,True
Teleport,Flash,False
Ignite,Smite,False
Flash,Exhaust,False
Flash,Smite,False
Flash,Heal,True
Flash,Smite,True
Teleport,Flash,True
Flash,Ignite,True
Heal,Flash,False
Flash,Teleport,True
Heal,Exhaust,True
Ignite,Flash,False
Flash,Teleport,False
Teleport,Flash,False
Teleport,Ignite,False
Flash,Ignite,True
Flash,Ghost,False
Flash,Smite,True
Ignite,Flash,True
Ignite,Exhaust,False
Heal,Ignite,False
Ignite,Teleport,True
Flash,Teleport,False
Flash,Ignite,True
Flash,Cleanse,True
Ignite,Flash,True
Flash,Ignite,True
Heal,Flash,False
Heal,Flash,False
Flash,Ignite,False
Flash,Smite,False
Smite,Flash,True
Flash,Exhaust,True
Flash,Heal,False
Flash,Smite,True
Flash,Smite,True
Ignite,Flash,False
Flash,Ignite,False
Smite,Flash,False
Teleport,Flash,False
Ignite,Flash,True
Flash,Ignite,False
Smite,Ignite,True
Flash,Ignite,True
Flash,Ignite,False
Ignite,Flash,True
Smite,Exhaust,True
Flash,Ignite,True
Flash,Teleport,False
Teleport,Ignite,True
Flash,Heal,True
Flash,Heal,False
Ignite,Flash,False
Flash,Smite,False
Flash,Teleport,True
Ignite,Flash,True
Flash,Smite,False
Exhaust,Flash,False
Flash,Ignite,True
Flash,Ignite,False
Flash,Smite,True
Flash,Smite,False
Flash,Smite,True
Flash,Heal,True
Flash,Teleport,False
Smite,Ignite,True
Flash,Teleport,False
Flash,Heal,True
Teleport,Flash,True
Flash,Ignite,False
Flash,Teleport,True
Teleport,Flash,False
Teleport,Flash,True
Ignite,Flash,False
Flash,Smite,True
Flash,Barrier,False
Flash,Ignite,True
Flash,Heal,False
Ignite,Flash,True
Flash,Teleport,False
Exhaust,Flash,True
Ignite,Flash,True
Flash,Teleport,True
Flash,Teleport,False
Flash,Cleanse,False
Flash,Ghost,False
Flash,Teleport,False
Flash,Ignite,False
Teleport,Flash,False
Flash,Smite,False
Ignite,Flash,False
Flash,Smite,True
Heal,Flash,False
Flash,Teleport,False
Teleport,Flash,False
Flash,Exhaust,False
Flash,Ignite,True
Flash,Teleport,True
Flash,Exhaust,False
Teleport,Ignite,True
Teleport,Flash,True
Heal,Flash,True
Smite,Flash,True
Smite,Flash,False
Ignite,Flash,False
Flash,Smite,True
Flash,Ignite,False
Teleport,Flash,False
Ignite,Teleport,True
Flash,Exhaust,True
Teleport,Flash,False
Teleport,Flash,False
Flash,Teleport,False
Flash,Ignite,True
Smite,Flash,True
Flash,Teleport,True
Ignite,Flash,True
Teleport,Flash,True
