d_spell,f_spell,result
Flash,Heal,False
Flash,Smite,True
Ghost,Smite,False
Ignite,Flash,True
Exhaust,Ignite,False
Flash,Teleport,True
Teleport,Ignite,False
Flash,Teleport,False
Smite,Flash,True
Flash,Ignite,False
Teleport,Flash,True
Ghost,Smite,False
Flash,Heal,True
Smite,Flash,True
Ignite,Flash,True
Flash,Ignite,True
Flash,Teleport,True
Teleport,Flash,False
Flash,Cleanse,False
Teleport,Flash,False
Flash,Teleport,True
Flash,Smite,True
Ignite,Flash,False
Flash,Ignite,False
Ignite,Teleport,False
Teleport,Ignite,False
Smite,Flash,False
Flash,Heal,True
Flash,Ignite,False
Flash,Ignite,False
Ignite,Flash,True
Ignite,Flash,True
Flash,Smite,False
Smite,Flash,False
Teleport,Flash,False
Flash,Teleport,False
Flash,Ignite,False
Flash,Ignite,False
Flash,Teleport,True
Flash,Ignite,False
Ignite,Teleport,False
Flash,Exhaust,True
Flash,Smite,False
Smite,Flash,True
Flash,Smite,True
Flash,Ignite,True
Heal,Flash,True
Ignite,Flash,False
Teleport,Ignite,True
Exhaust,Flash,False
Smite,Flash,True
Exhaust,Flash,True
Flash,Teleport,True
Cleanse,Flash,True
Exhaust,Flash,True
Flash,Teleport,True
Teleport,Flash,True
Flash,Teleport,True
Teleport,Flash,True
Flash,Teleport,False
Flash,Cleanse,False
Ignite,Flash,False
Flash,Ignite,False
Ignite,Flash,False
Flash,Teleport,False
Flash,Ignite,False
Ignite,Flash,True
Flash,Teleport,True
Flash,Ignite,True
Ignite,Flash,False
Exhaust,Smite,True
Smite,Flash,True
Flash,Ignite,True
Flash,Smite,True
Flash,Ignite,True
Ignite,Flash,False
Flash,Teleport,False
Heal,Flash,False
Flash,Teleport,False
Ghost,Smite,False
Flash,Ghost,True
Flash,Heal,True
Flash,Heal,False
Heal,Flash,True
Smite,Flash,True
Flash,Exhaust,True
Flash,Ignite,False
Flash,Teleport,True
Flash,Ignite,False
Teleport,Flash,False
Smite,Flash,False
Flash,Teleport,False
Flash,Teleport,False
Smite,Flash,False
Heal,Flash,True
Flash,Ignite,True
Smite,Flash,False
Flash,Exhaust,True
Flash,Ignite,False
Flash,Teleport,True
Smite,Flash,True
Flash,Ignite,False
Flash,Smite,True
Teleport,Flash,True
Flash,Ignite,False
Ignite,Flash,False
Ignite,Flash,True
Flash,Teleport,True
Ignite,Exhaust,True
Flash,Teleport,True
Flash,Ignite,True
Teleport,Flash,False
Ignite,Flash,False
Flash,Teleport,False
Flash,Heal,False
Ignite,Smite,True
Teleport,Flash,True
Flash,Ignite,True
Teleport,Flash,True
Exhaust,Flash,True
Teleport,Flash,False
Flash,Smite,False
Ignite,Teleport,True
Smite,Flash,False
Smite,Ghost,True
Flash,Exhaust,True
Flash,Exhaust,True
Flash,Teleport,False
Ignite,Teleport,True
Smite,Flash,True
Teleport,Flash,False
Flash,Teleport,True
Teleport,Flash,False
Flash,Ignite,False
Ignite,Flash,True
Flash,Exhaust,False
Smite,Flash,True
Heal,Flash,True
Flash,Ignite,True
Flash,Smite,False
Flash,Ignite,False
Teleport,Flash,True
Flash,Ignite,True
Ignite,Teleport,True
Flash,Ignite,True
Smite,Flash,True
Smite,Flash,False
Teleport,Ghost,False
Ignite,Exhaust,True
Teleport,Ignite,False
Flash,Teleport,True
Flash,Teleport,False
Ignite,Flash,True
Teleport,Flash,False
Ignite,Flash,True
Teleport,Flash,False
Smite,Flash,False
Flash,Exhaust,True
Flash,Teleport,True
Flash,Smite,False
Ghost,Flash,False
Flash,Teleport,False
Ignite,Flash,False
Ignite,Flash,False
Flash,Smite,False
Flash,Heal,True
Flash,Exhaust,True
Flash,Teleport,True
Flash,Teleport,False
Flash,Teleport,False
Flash,Ignite,False
Ignite,Flash,True
Ghost,Flash,False
Flash,Teleport,True
Flash,Smite,True
Exhaust,Flash,True
Teleport,Flash,False
Flash,Teleport,False
Flash,Ignite,False
Heal,Flash,False
Ignite,Flash,False
Smite,Flash,False
Flash,Smite,True
Heal,Flash,True
Flash,Smite,False
Flash,Teleport,True
Flash,Ignite,False
Flash,Ignite,True
Flash,Smite,True
Flash,Teleport,True
Ignite,Flash,True
Heal,Flash,False
Teleport,Flash,True
Heal,Ignite,False
Flash,Heal,False
Flash,Ignite,False
Flash,Smite,True
Flash,Cleanse,True
Ignite,Flash,False
Smite,Flash,False
Flash,Ignite,True
Flash,Heal,True
Ignite,Flash,True
Ignite,Flash,True
Flash,Teleport,False
Teleport,Flash,False
Flash,Exhaust,True
Flash,Heal,True
Flash,Exhaust,False
Flash,Smite,False
Smite,Flash,True
Ghost,Flash,True
Ignite,Flash,True
Smite,Flash,True
Flash,Teleport,True
Flash,Ignite,False
Heal,Flash,True
Ignite,Flash,False
Flash,Cleanse,False
