d_spell,f_spell,result
Flash,Ignite,False
Smite,Flash,False
Flash,Teleport,True
Teleport,Flash,True
Heal,Flash,True
Ignite,Flash,False
Smite,Flash,False
Exhaust,Flash,True
Ignite,Flash,True
Ignite,Flash,True
Ignite,Flash,True
Teleport,Flash,False
Flash,Smite,False
Smite,Flash,False
Flash,Smite,True
Barrier,Flash,False
Teleport,Flash,True
Exhaust,Flash,False
Heal,Flash,True
Flash,Teleport,True
Smite,Flash,False
Heal,Flash,True
Teleport,Flash,False
Smite,Flash,True
Flash,Exhaust,True
Heal,Flash,False
Smite,Flash,True
Teleport,Flash,True
Smite,Flash,False
Heal,Flash,True
Ignite,Flash,True
Heal,Flash,True
Teleport,Flash,True
Teleport,Flash,True
Flash,Heal,True
Flash,Ignite,True
Heal,Flash,False
Exhaust,Flash,False
Smite,Flash,False
Ignite,Flash,False
Ignite,Flash,False
Flash,Heal,True
Ignite,Flash,False
Ignite,Teleport,False
Heal,Flash,True
Flash,Teleport,False
Ignite,Flash,True
Teleport,Flash,True
Teleport,Flash,False
Heal,Flash,False
Teleport,Flash,True
Smite,Flash,False
Smite,Flash,False
Flash,Ignite,True
Smite,Flash,True
Teleport,Flash,False
Ignite,Flash,False
Teleport,Flash,True
Flash,Smite,True
Smite,Flash,False
Ignite,Flash,True
Smite,Flash,False
Ignite,Flash,True
Smite,Flash,True
Flash,Ignite,False
Flash,Teleport,True
Teleport,Flash,True
Heal,Flash,True
Ghost,Flash,False
Ghost,Flash,True
Ignite,Flash,True
Teleport,Flash,False
Flash,Ignite,True
Ignite,Flash,True
Ignite,Flash,True
Flash,Teleport,True
Teleport,Flash,False
Flash,Ignite,True
Smite,Flash,False
Flash,Heal,False
Flash,Heal,False
Smite,Flash,False
Flash,Smite,False
Smite,Flash,True
Teleport,Flash,True
Heal,Flash,False
Heal,Flash,True
Flash,Exhaust,True
Smite,Flash,True
Flash,Teleport,True
Flash,Heal,False
Flash,Teleport,True
Smite,Flash,False
Teleport,Flash,False
Smite,Exhaust,False
Ignite,Flash,False
Flash,Ignite,False
Flash,Ignite,True
Smite,Flash,True
Heal,Flash,False
Ignite,Flash,False
Ignite,Flash,True
Smite,Flash,True
Teleport,Flash,True
Ignite,Flash,True
Teleport,Flash,True
Teleport,Flash,True
Flash,Exhaust,False
Flash,Smite,True
Ignite,Flash,False
Flash,Teleport,False
Ignite,Flash,True
Heal,Flash,True
Ignite,Flash,True
Flash,Smite,False
Smite,Flash,True
Exhaust,Flash,False
Ignite,Flash,True
Ignite,Teleport,False
Ignite,Flash,False
Ignite,Teleport,True
Heal,Flash,True
Flash,Teleport,False
Teleport,Flash,True
Smite,Flash,True
Flash,Teleport,False
Teleport,Flash,False
Flash,Ignite,False
Ignite,Flash,False
Flash,Smite,False
Flash,Teleport,True
Flash,Teleport,False
Teleport,Flash,False
Heal,Flash,True
Teleport,Flash,True
Smite,Flash,False
Smite,Flash,False
Smite,Flash,False
Ignite,Flash,True
Smite,Flash,True
Teleport,Flash,True
Flash,Cleanse,True
Ignite,Flash,False
Heal,Flash,True
Flash,Ignite,True
Exhaust,Flash,True
Ignite,Flash,False
Heal,Flash,True
Teleport,Flash,True
Teleport,Flash,True
Smite,Flash,False
Ignite,Flash,True
Flash,Heal,False
Heal,Flash,False
Flash,Teleport,False
Ignite,Flash,False
Ignite,Flash,False
Flash,Smite,True
Flash,Smite,True
Flash,Teleport,False
Flash,Teleport,False
Flash,Ignite,False
Heal,Flash,True
Flash,Exhaust,False
Ignite,Flash,False
Flash,Exhaust,True
Flash,Teleport,False
Teleport,Flash,True
Exhaust,Flash,False
Flash,Heal,True
Ignite,Flash,True
Heal,Flash,False
Ignite,Flash,False
Teleport,Flash,False
Ignite,Flash,True
Heal,Flash,False
Ghost,Ignite,False
Teleport,Flash,True
Smite,Teleport,True
Ignite,Flash,False
Flash,Smite,True
Exhaust,Flash,True
Flash,Teleport,False
Smite,Flash,False
Teleport,Flash,False
Teleport,Flash,True
Flash,Smite,False
Teleport,Flash,False
Teleport,Flash,False
Ignite,Teleport,True
Ignite,Flash,True
Teleport,Flash,True
Smite,Exhaust,True
Exhaust,Flash,False
Ignite,Flash,True
Ignite,Teleport,False
Ignite,Flash,False
Flash,Teleport,False
Smite,Flash,False
Ignite,Flash,True
Teleport,Flash,False
Teleport,Flash,True
Teleport,Flash,False
Heal,Flash,True
Ignite,Teleport,True
Flash,Teleport,False
Exhaust,Flash,False
Flash,Teleport,True
Teleport,Flash,True
Teleport,Flash,True
Ignite,Flash,True
Ignite,Flash,True
Ignite,Flash,True
