d_spell,f_spell,result
Flash,Teleport,True
Flash,Exhaust,False
Smite,Flash,True
Flash,Smite,True
Smite,Flash,False
Heal,Flash,True
Heal,Flash,False
Teleport,Flash,False
Smite,Flash,False
Flash,Heal,False
Heal,Flash,False
Flash,Cleanse,False
Flash,Exhaust,False
Smite,Flash,True
Flash,Ignite,True
Flash,Teleport,True
Exhaust,Ignite,False
Ignite,Flash,True
Ignite,Flash,True
Flash,Smite,True
Smite,Flash,True
Flash,Teleport,False
Flash,Teleport,True
Flash,Ignite,True
Ignite,Flash,True
Flash,Teleport,False
Teleport,Flash,True
Flash,Ignite,False
Teleport,Ghost,False
Flash,Teleport,True
Flash,Heal,True
Flash,Ignite,False
Teleport,Flash,False
Smite,Flash,False
Flash,Teleport,False
Smite,Flash,False
Ignite,Flash,True
Teleport,Flash,True
Smite,Flash,True
Smite,Flash,True
Flash,Ignite,False
Heal,Flash,True
Ignite,Flash,True
Flash,Smite,True
Flash,Ignite,False
Ghost,Flash,False
Ignite,Flash,False
Smite,Flash,False
Flash,Teleport,False
Smite,Flash,False
Flash,Heal,True
Smite,Flash,False
Teleport,Flash,True
Flash,Exhaust,False
Smite,Flash,True
Ignite,Flash,False
Flash,Heal,True
Ignite,Flash,True
Flash,Heal,False
Ignite,Flash,True
Smite,Flash,True
Flash,Teleport,True
Ignite,Flash,True
Teleport,Ignite,True
Ignite,Flash,True
Ignite,Flash,True
Teleport,Flash,False
Heal,Flash,False
Flash,Smite,False
Cleanse,Flash,False
Flash,Exhaust,True
Flash,Ignite,True
Flash,Teleport,True
Flash,Smite,True
Flash,Ignite,False
Heal,Flash,True
Ignite,Smite,False
Teleport,Flash,True
Flash,Smite,False
Flash,Exhaust,True
Heal,Ignite,True
Teleport,Flash,False
Teleport,Flash,False
Ignite,Flash,False
Flash,Smite,False
Flash,Heal,False
Flash,Smite,False
Flash,Smite,False
Ignite,Flash,False
Flash,Smite,False
Ignite,Teleport,True
Ignite,Exhaust,False
Ignite,Flash,False
Heal,Flash,True
Smite,Flash,True
Flash,Smite,False
Smite,Flash,True
Flash,Exhaust,True
Heal,Flash,True
Flash,Heal,False
Flash,Teleport,True
Flash,Ignite,False
Heal,Flash,True
Teleport,Flash,True
Flash,Heal,False
Flash,Smite,False
Teleport,Flash,True
Smite,Flash,True
Smite,Flash,True
Teleport,Flash,True
Ignite,Flash,False
Ignite,Flash,True
Flash,Ignite,False
Teleport,Flash,False
Smite,Ghost,True
Smite,Flash,True
Teleport,Flash,False
Flash,Exhaust,False
Flash,Teleport,False
Smite,Flash,False
Flash,Exhaust,True
Ignite,Flash,True
Flash,Ignite,False
Heal,Flash,True
Flash,Teleport,True
Teleport,Flash,True
Flash,Teleport,False
Flash,Ignite,False
Flash,Teleport,False
Smite,Flash,True
Flash,Ignite,True
Teleport,Flash,False
Flash,Smite,True
Smite,Flash,True
Ignite,Flash,True
Smite,Flash,True
Teleport,Ignite,False
Teleport,Flash,False
Teleport,Flash,True
Smite,Flash,True
Flash,Heal,True
Barrier,Flash,True
Flash,Ignite,True
Flash,Teleport,False
Flash,Exhaust,True
Smite,Flash,False
Flash,Ignite,False
Heal,Flash,True
Flash,Teleport,False
Flash,Ignite,True
Flash,Heal,False
Teleport,Ignite,True
Teleport,Flash,True
Flash,Smite,False
Flash,Heal,True
Flash,Barrier,True
Ignite,Flash,True
Ignite,Teleport,True
Teleport,Ignite,True
Heal,Flash,True
Flash,Teleport,False
Flash,Teleport,True
Teleport,Flash,True
Smite,Flash,True
Teleport,Flash,True
Ghost,Teleport,True
Teleport,Flash,True
Flash,Heal,True
Flash,Smite,True
Flash,Teleport,False
Flash,Heal,True
Flash,Heal,True
Flash,Exhaust,True
Teleport,Flash,False
Heal,Flash,True
Ignite,Flash,True
Flash,Ignite,True
Flash,Heal,False
Flash,Smite,True
Flash,Teleport,False
Flash,Teleport,False
Teleport,Flash,False
Flash,Teleport,True
Flash,Teleport,False
Smite,Flash,False
Flash,Exhaust,True
Teleport,Flash,True
Flash,Teleport,False
Flash,Ignite,False
Smite,Flash,True
Flash,Ignite,True
Heal,Flash,True
Teleport,Flash,False
Flash,Exhaust,True
Flash,Heal,True
Ignite,Flash,True
Flash,Exhaust,True
Flash,Heal,True
Teleport,Flash,True
Flash,Heal,False
Ignite,Flash,True
Flash,Teleport,False
Flash,Cleanse,False
Smite,Exhaust,True
Flash,Heal,False
Smite,Flash,True
Teleport,Flash,False
Smite,Ignite,True
Ignite,Flash,True
Heal,Flash,False
Flash,Teleport,False
Ignite,Flash,True
Smite,Flash,True
Teleport,Flash,False
Flash,Smite,False
